Exchange Name|Country Name|Country Code|Google Exchange|Yahoo Exchange|MIC|Operating MIC
TSX Venture Exchange|Canada|CA|CVE|.V|XTSX|XTSX
American Stock Exchange|United States|US|NYSEAMEX|||
NYSE Markets|United States|US|NYSEMKT|||
NASDAQ OMX BX|United States|US|NASDAQ||XBXO|XNAS
Chicago Stock Exchange|United States|US|||XCHI|XCHI
NASDAQ|United States|US|NASDAQ||XARM|XARM
National Stock Exchange|United States|US|||XNEC|XNEC
New York Stock Exchange|United States|US|NYSE||XNYS|XNYS
NYSE Arca Stock Exchange|United States|US|NYSEARCA||ARCX|XNYS
NASDAQ OMX PHLX|United States|US|NASDAQ||XPHL|XNAS
Buenos Aires Stock Exchange|Argentina|AR|BCBA|||
Bovespa Stock Exchange|Brazil|BR|BVMF|||
